# client -> server. opcode  sender_va  sender_name (from the sender's own log string)
0x1838  1805fe9f0  send_eSUB_CMD_ITEM_RENOVATE_COMPLETE
0x1839  1805fe690  send_eSUB_CMD_ITEM_BROACH_REMOVE_EX
0x1841  1805feab0  send_eSUB_CMD_ITEM_COSTUME_EXTRACTION
0x1843  1805fec90  send_eSUB_CMD_ITEM_ADD_SLOT_GESTURE
0x1844  1805f9600  send_eSUB_CMD_ITEM_TRANSFER
0x1846  1805f9840  ?
0x1847  1805f98d0  ?
0x1849  1805f99b0  ?
0x1850  1805f9a40  ?
0x1851  1805f9ac0  ?
0x1852  1805f9b50  ?
0x1853  1805f9be0  ?
0x1854  1805fa630  ?
0x1855  1805fa6c0  ?
0x1857  1805fa750  ?
0x1858  1805f97c0  send_eSUB_CMD_ITEM_OVERCLOCK_BONUS_RATE_LIST
0x1863  18060b4e0  send_eSUB_CMD_ITEM_CORE_ROLL 
0x1864  18060b570  send_eSUB_CMD_ITEM_CORE_CONFIRM
0x1866  18060b600  send_eSUB_CMD_ITEM_CORE_RESET_SLOT
0x1867  18060b690  send_eSUB_CMD_ITEM_CORE_RESET_ALL
0x1911  1805fbd10  send_eSUB_CMD_FRIEND_INVITE
0x1913  1805fbdd0  send_eSUB_CMD_FRIEND_INVITE_ACCEPT
0x1915  1805fbef0  send_eSUB_CMD_FRIEND_DELETE
0x1921  1805fbf90  send_eSUB_CMD_FRIEND_BLOCK_ADD
0x1922  1805fc050  send_eSUB_CMD_FRIEND_BLOCK_DEL
0x1932  1805fc190  send_eSUB_CMD_FRIEND_INFO
0x1933  1806039c0  send_eSUB_CMD_FRIEND_FIND
0x1941  180603750  send_eSUB_CMD_FRIEND_RECRUIT_LIST
0x1942  180603840  send_eSUB_CMD_FRIEND_RECRUIT_ADD
0x1943  1806038c0  send_eSUB_CMD_FRIEND_RECRUIT_DEL
0x1944  180603940  send_eSUB_CMD_FRIEND_RECRUIT_INFO
0x1951  1805fc110  send_eSUB_CMD_FRIEND_RECOMMAND_LIST
0x2001  1805fc2a0  send_eSUB_CMD_POST_SEND_LIST
0x2002  1805fc370  send_eSUB_CMD_POST_RECV_LIST
0x2003  1805fc860  send_eSUB_CMD_POST_SEND
0x2004  1805fc5e0  send_eSUB_CMD_POST_READ
0x2005  1805fc950  send_eSUB_CMD_POST_RECEIPT
0x2006  1805fcd40  send_eSUB_CMD_POST_SEND_DEL
0x2007  1805fce80  send_eSUB_CMD_POST_RECV_DEL
0x2008  1805fcc00  send_eSUB_CMD_POST_SENDBACK
0x2010  1805fc240  ?
0x2012  1805fd150  send_eSUB_CMD_POST_SAVE
0x2013  1805fc440  send_eSUB_CMD_POST_SAVE_LIST
0x2014  1805fc510  send_eSUB_CMD_POST_ACCOUNT_LIST
0x2016  1805fc720  send_eSUB_CMD_POST_ACCOUNT_READ
0x2017  1805fca90  send_eSUB_CMD_POST_ACCOUNT_RECEIPT
0x2018  1805fd010  send_eSUB_CMD_POST_RECV_DEL
0x2019  1805fd290  send_eSUB_CMD_POST_RECV_DEL
0x2020  1805fd410  send_eSUB_CMD_POST_RECEIPT_ALL
0x2021  1805fd320  send_eSUB_CMD_POST_LIST_REFRESH -[%d]
0x2105  1805ff360  send_eSUB_CMD_SOULMETRY_COMPLETE
0x2201  1805ff5d0  send_eSUB_CMD_LEAGUE_CREATE
0x2202  1805ff750  send_eSUB_CMD_LEAGUE_DELETE
0x2203  1805ff820  send_eSUB_CMD_LEAGUE_LIST
0x2205  1806000e0  send_eSUB_CMD_LEAGUE_APPLICANT
0x2207  180600a90  send_eSUB_CMD_LEAGUE_INFO
0x2208  1806005d0  send_eSUB_CMD_LEAGUE_BOARD
0x2209  1805fff40  send_eSUB_CMD_LEAGUE_WITHDRAW
0x220a  1806004f0  send_eSUB_CMD_LEAGUE_DELEGATE
0x220f  180600010  send_eSUB_CMD_LEAGUE_KICK
0x2213  1805ff900  send_eSUB_CMD_LEAGUE_INVITE
0x2214  1805ffbe0  send_eSUB_CMD_LEAGUE_INVITE_ACCEPT
0x2215  1805ffd90  send_eSUB_CMD_LEAGUE_INVITE_REJECT
0x2218  180600250  send_eSUB_CMD_LEAGUE_APPLICANT_ACCEPT
0x2219  1806003f0  send_eSUB_CMD_LEAGUE_APPLICANT_REJECT
0x2220  1806007e0  send_eSUB_CMD_LEAGUE_SEARCH
0x2221  1806009c0  send_eSUB_CMD_LEAGUE_OVERLAP_NAME
0x2229  180600c50  send_eSUB_CMD_LEAGUE_NOTICE_CHANGE
0x2230  1806011d0  send_eSUB_CMD_LEAGUE_NAME_CHANGE
0x2231  180600f10  send_eSUB_CMD_LEAGUE_CARD_CHANGE
0x2232  180600b10  send_eSUB_CMD_LEAGUE_AUTH_CHANGE
0x2233  180600db0  send_eSUB_CMD_LEAGUE_POSITION_NAME_CHANGE
0x2239  180601710  send_eSUB_CMD_LEAGUE_MEMBER_POSITION_CHANGE
0x2246  1806017e0  send_eSUB_CMD_LEAGUE_OPEN_OR_NOT
0x2247  180601890  send_eSUB_CMD_LEAGUE_RECRUIT_NOTICE
0x2253  180601040  send_eSUB_CMD_LEAGUE_SKILL_LEARN
0x2254  180601140  send_eSUB_CMD_LEAGUE_INVENTORY_MOVE
0x2256  180601550  send_eSUB_CMD_LEAGUE_INVENTORY_INFO
0x225a  180601340  send_eSUB_CMD_LEAGUE_RAID_OPEN
0x225d  1806013d0  send_eSUB_CMD_LEAGUE_RAID_RANKING
0x225e  180601450  send_eSUB_CMD_LEAGUE_ATTENDANCE_INFO
0x225f  1806014d0  send_eSUB_CMD_LEAGUE_ATTENDANCE_CHECK
0x2260  180601650  send_eSUB_CMD_LEAGUE_SKILL_RESET
0x2261  1806019f0  send_eSUB_CMD_LEAGUE_BOOSTER_BUY
0x2301  180602250  ?
0x2303  1806022e0  ?
0x2310  180602440  send_eSUB_CMD_EMOTICON_VOICERING_SHOW
0x2311  180602530  send_eSUB_CMD_EMOTICON_VOICERING_SLOT_UPDATE_REQ
0x2313  180602650  send_eSUB_CMD_WIN_MOTION_UPDATE
0x2402  1805fb400  send_eSUB_CMD_DAILY_MISSION_ACCEPT : %d
0x2404  1805fb4e0  send_eSUB_CMD_DAILY_MISSION_HELPER : %d %d
0x2406  1805fb630  send_eSUB_CMD_DAILY_MISSION_REWARD : %d %d
0x2501  1805ff430  send_eSUB_CMD_VACCUM_CLICK_START
0x2502  1805ff500  send_eSUB_CMD_VACCUM_CLICK_CANCEL
0x2605  180603ce0  send_eSUB_CMD_MYROOM_EDIT_START
0x2606  180603d60  send_eSUB_CMD_MYROOM_EDIT_END
0x2610  180603bd0  send_eSUB_CMD_MYROOM_CREATE_REQ
0x2611  180603a70  send_eSUB_CMD_MYROOM_ENTER_REQ
0x2613  180604c30  send_eSUB_CMD_MYROOM_EXIT_REQ
0x2614  180604cf0  send_eSUB_CMD_MYROOM_SETUP
0x2615  180604da0  send_eSUB_CMD_MYROOM_KICK_OUT
0x2620  180604e70  ?
0x2621  180604f00  ?
0x2622  180604fe0  ?
0x2623  1806054c0  ?
0x2626  180605610  send_eSUB_CMD_MYROOM_DOOR_STATE
0x2631  1806057b0  send_eSUB_CMD_MYROOM_POLLEN_ADD
0x2632  1806058c0  send_eSUB_CMD_MYROOM_POLLEN_CULTIVATION
0x2633  1806059d0  send_eSUB_CMD_MYROOM_POLLEN_HARVEST
0x2634  180605aa0  send_eSUB_CMD_MYROOM_POLLEN_HELP
0x2635  180605b70  send_eSUB_CMD_MYROOM_POLLEN_ITEM_USE
0x2637  180605c80  send_eSUB_CMD_MYROOM_PLLLEN_CANCEL
0x2638  180605d50  send_eSUB_CMD_MYROOM_PLLLEN_CANCEL
0x2640  180603df0  send_eSUB_CMD_MYROOM_RECOMMEND
0x2641  180603ec0  send_eSUB_CMD_MYROOM_FAVORITE
0x2642  180603f80  send_eSUB_CMD_MYROOM_WRITE_BOARD
0x2643  180604010  send_eSUB_CMD_MYROOM_WRITE_INFO
0x2644  180604090  send_eSUB_CMD_MYROOM_BOARD_LIST
0x2646  180604150  send_eSUB_CMD_MYROOM_RANK_INFO
0x2647  1806041d0  send_eSUB_CMD_MYROOM_FAVORITE_INFO
0x2648  180604250  send_eSUB_CMD_MYROOM_RANK_REWARD
0x2702  1806042d0  send_eSUB_CMD_HELPER_SUMMON id:%d, bSummon:%s
0x2705  180604450  send_eSUB_CMD_HELPER_SUPPORT_INFO
0x2706  1806044d0  send_eSUB_CMD_HELPER_SUPPORT_REGISTER
0x2707  1806045b0  send_eSUB_CMD_HELPER_SUPPORT_REWARD
0x2708  180604660  send_eSUB_CMD_HELPER_SUPPORT_LIST
0x2709  180604710  send_eSUB_CMD_HELPER_SUPPORT_EQUIP
0x2710  180604830  send_eSUB_CMD_HELPER_EQUIP
0x2712  1806049d0  send_eSUB_CMD_HELPER_CHANGE_ORDER
0x2714  180604ac0  send_eSUB_CMD_HELPER_ALL_RELEASE
0x2715  180604b40  send_eSUB_CMD_HELPER_AUTO_SUMMON
0x2802  180605e80  send_eSUB_CMD_INFINITE_TOWER_ENTER_CHAPTER
0x2803  180605f50  send_eSUB_CMD_INFINITE_TOWER_ENTER_NEXT_STAGE
0x2a21  180607fb0  send_eSUB_CMD_EVENT_USE_COUPON_CODE
0x2a22  180608290  send_eSUB_CMD_EVENT_WORLD_EVENT_INFO
0x2a23  180608340  send_eSUB_CMD_EVENT_WORLD_EVENT_REGISTER
0x2a24  1806083f0  send_eSUB_CMD_EVENT_WORLD_EVENT_REWARD
0x2a25  180608550  send_eSUB_CMD_EVENT_WORLD_EVENT_DAILY_REWARD
0x2a26  1806084d0  send_eSUB_CMD_EVENT_NOTICE_EVENT_INFO
0x2a29  180608600  send_eSUB_CMD_EVENT_ROULETTE_USE
0x2a2a  180608060  send_eSUB_CMD_EVENT_NET_CAFE_ITEM_BUY
0x2a2c  1806087a0  send_eSUB_CMD_EVENT_NET_CAFE_MISSION_INFO
0x2a2d  180608d60  ?
0x2a32  180608820  send_eSUB_CMD_EVENT_BATTLE_PASS_REWARD
0x2a33  180608970  send_eSUB_CMD_EVENT_BATTLE_PASS_UPGRADE
0x2a35  1806089f0  send_eSUB_CMD_EVENT_ROCK_SCISSORS_PAPER_START
0x2a36  180608a70  send_eSUB_CMD_EVENT_ROCK_SCISSORS_PAPER_SELECT
0x2a39  180608b50  send_eSUB_CMD_EVENT_DICE_TRY
0x2a3a  180608bd0  send_eSUB_CMD_EVENT_DICE_GOTO_START
0x2a3d  18060a010  send_eSUB_CMD_EVENT_COMMAND_START
0x2a3e  18060a0a0  send_eSUB_CMD_EVENT_COMMAND_END
0x2a41  18060ad50  send_eSUB_CMD_EVENT_BINGO_START
0x2a42  18060ade0  send_eSUB_CMD_EVENT_BINGO_RESET
0x2a43  18060ae70  send_eSUB_CMD_EVENT_BINGO_RAND_NUMBER
0x2a44  18060af00  send_eSUB_CMD_EVENT_BINGO_REWARD
0x2a50  18060af90  send_eSUB_CMD_EVENT_MINI_GAME_REWARD
0x2a51  18060b010  send_eSUB_CMD_EVENT_MINI_GAME_REWARD
0x2b01  180606430  send_eSUB_CMD_EXCHANGE_SEARCH
0x2b02  1806065e0  send_eSUB_CMD_EXCHANGE_PRICE_HISTORY
0x2b03  1806066a0  send_eSUB_CMD_EXCHANGE_INTEREST_LIST
0x2b04  180606750  send_eSUB_CMD_EXCHANGE_INTEREST_ITEM
0x2b05  180606830  send_eSUB_CMD_EXCHANGE_SELL_REGISTER
0x2b06  180606990  send_eSUB_CMD_EXCHANGE_ITEM_BUY
0x2b07  180606a90  send_eSUB_CMD_EXCHANGE_ITEM_RECALL
0x2b08  180606b30  send_eSUB_CMD_EXCHANGE_MY_LIST
0x2b10  18060b3e0  send_eSUB_CMD_EXCHANGE_MY_INFO
0x2b11  18060b460  send_eSUB_CMD_EXCHANGE_PRICE
0x2b12  18060b1d0  send_eSUB_CMD_EXCHANGE_TRADE
0x2b13  18060b2a0  send_eSUB_CMD_EXCHANGE_CANCEL
0x2b14  18060b340  send_eSUB_CMD_EXCHANGE_CONFIRM
0x2c01  180607600  send_eSUB_CMD_RANKING_LIST : %d, %d, %d, %d
0x2c02  180607730  send_eSUB_CMD_RANKING_REWARD
0x2d01  180606be0  send_eSUB_CMD_SOCIAL_ITEM_START
0x2d02  180606f20  send_eSUB_CMD_SOCIAL_ITEM_USE
0x2d03  1806070e0  send_eSUB_CMD_SOCIAL_ITEM_STOP
0x2d08  180607220  send_eSUB_CMD_SOCIAL_ITEM_PLAY_START
0x2d09  1806072d0  send_eSUB_CMD_SOCIAL_ITEM_PLAY_GAME
0x2e01  180607810  send_eSUB_CMD_FORCE_INVITE
0x2e02  1806079a0  send_eSUB_CMD_FORCE_ACCEPT
0x2e03  180607aa0  send_eSUB_CMD_FORCE_CHANGE_MASTER
0x2e04  180607b70  send_eSUB_CMD_FORCE_KICK_OUT
0x2e05  180607c40  send_eSUB_CMD_FORCE_LEAVE
0x2e08  180607cc0  send_eSUB_CMD_FORCE_CANCEL
0x2e30  180607e00  send_eSUB_CMD_FORCE_MATCHING_ENTER
0x2e31  180607f30  send_eSUB_CMD_FORCE_MATCHING_EXIT
